Date,ABEV3.SA,BSBR,BTC-USD,ERJ,ETH-USD,ITUB4.SA,MGLU3.SA,PETR4.SA,VALE3.SA,XRP-USD
2019-01-01,,,3843.52001953125,,140.8194122314453,,,,,0.3647710084915161
2019-01-02,13.25745964050293,8.609355926513672,3943.409423828125,22.81999969482422,155.0476837158203,29.163206100463867,53.938560485839844,8.526196479797363,33.3578987121582,0.37524300813674927
2019-01-03,13.405220985412598,8.772197723388672,3836.7412109375,22.690000534057617,149.135009765625,29.643997192382812,53.361446380615234,8.73527717590332,31.9932861328125,0.36022400856018066
2019-01-04,13.58581829071045,9.062478065490723,3857.717529296875,22.139999389648438,154.58193969726562,29.14743423461914,51.737403869628906,8.760083198547363,34.07611083984375,0.35674700140953064
2019-01-05,,,3845.194580078125,,155.6385955810547,,,,,0.3552750051021576
2019-01-06,,,4076.632568359375,,157.74620056152344,,,,,0.36839500069618225
2019-01-07,13.528356552124023,9.027078628540039,4025.248291015625,22.81999969482422,151.69921875,29.202617645263672,52.54071807861328,8.898286819458008,33.89329528808594,0.36434701085090637
2019-01-08,13.25745964050293,9.123035430908203,4030.847900390625,23.030000686645508,150.35963439941406,29.57306671142578,52.1173095703125,8.845130920410156,34.219757080078125,0.3653149902820587
2019-01-09,13.446267127990723,9.261150360107422,4035.29638671875,23.110000610351562,150.80311584472656,30.022335052490234,51.943302154541016,9.029404640197754,35.05549240112305,0.3708899915218353
2019-01-10,13.832088470458984,9.290229797363281,3678.924560546875,22.649999618530273,128.62518310546875,29.817392349243164,52.44791793823242,8.951443672180176,34.67028045654297,0.3326520025730133
2019-01-11,14.193281173706055,9.28296184539795,3687.365478515625,23.229999542236328,127.54832458496094,29.63612174987793,51.50539779663086,8.855762481689453,34.20017623901367,0.33290401101112366
2019-01-12,,,3661.301025390625,,125.9665298461914,,,,,0.3287999927997589
2019-01-13,,,3552.953125,,116.8978042602539,,,,,0.31786298751831055
2019-01-14,14.398508071899414,9.464694023132324,3706.05224609375,23.450000762939453,129.0687255859375,29.856807708740234,51.911407470703125,8.806150436401367,34.343814849853516,0.33376601338386536
2019-01-15,14.5298490524292,9.159382820129395,3630.67529296875,23.399999618530273,122.03271484375,29.39177894592285,51.32269287109375,8.799064636230469,34.180580139160156,0.3271790146827698
2019-01-16,14.611936569213867,9.123035430908203,3655.0068359375,22.799999237060547,123.54706573486328,29.305063247680664,50.751373291015625,8.795519828796387,34.37645721435547,0.3297010064125061
2019-01-17,14.652981758117676,9.173917770385742,3678.56396484375,21.790000915527344,123.7419204711914,29.305063247680664,50.60057067871094,8.916006088256836,35.4080810546875,0.329353004693985
2019-01-18,14.776119232177734,9.355653762817383,3657.83935546875,21.020000457763672,121.01026153564453,29.683399200439453,50.51936340332031,9.001054763793945,35.754127502441406,0.32427701354026794
2019-01-19,,,3728.568359375,,124.5190200805664,,,,,0.33100101351737976
2019-01-20,,,3601.013671875,,119.4748306274414,,,,,0.32117700576782227
2019-01-21,14.776119232177734,,3576.032470703125,,117.15785217285156,29.439048767089844,48.43130874633789,9.047124862670898,36.093650817871094,0.32078999280929565
2019-01-22,14.398508071899414,9.181191444396973,3604.5771484375,20.450000762939453,118.74755096435547,29.39177894592285,46.99577331542969,8.905374526977539,35.96306228637695,0.3194909989833832
2019-01-23,14.102983474731445,9.631889343261719,3585.123046875,20.75,117.45260620117188,29.588821411132812,49.185333251953125,9.011688232421875,36.335227966308594,0.3164919912815094
2019-01-24,14.086565971374512,9.551928520202637,3600.865478515625,20.5,117.36288452148438,29.549409866333008,48.570518493652344,9.050668716430664,36.66169357299805,0.31759798526763916
2019-01-25,,9.595542907714844,3599.765869140625,20.700000762939453,116.37834167480469,,,,,0.31716498732566833
2019-01-26,,,3602.46044921875,,116.48873901367188,,,,,0.31423500180244446
2019-01-27,,,3583.9658203125,,113.40528869628906,,,,,0.3094390034675598
2019-01-28,14.73507308959961,9.573735237121582,3470.450439453125,20.479999542236328,106.58997344970703,30.077495574951172,48.5415153503418,8.777802467346191,27.657865524291992,0.2948629856109619
2019-01-29,14.669401168823242,9.595542907714844,3448.116943359375,20.649999618530273,105.59821319580078,29.856807708740234,51.65039825439453,8.990424156188965,27.905981063842773,0.2895579934120178
2019-01-30,14.751490592956543,9.486502647399902,3486.181640625,20.950000762939453,108.90753936767578,30.045970916748047,51.08488082885742,9.079017639160156,30.42626190185547,0.3204610049724579
2019-01-31,14.373876571655273,9.66823673248291,3457.792724609375,21.280000686645508,107.0610122680664,30.56619644165039,51.931705474853516,9.06484317779541,29.708049774169922,0.3100360035896301
2019-02-01,14.866415977478027,9.66823673248291,3487.9453125,20.969999313354492,107.60978698730469,30.601655960083008,51.8534049987793,9.142803192138672,30.19774055480957,0.3085170090198517
2019-02-02,,,3521.060791015625,,110.43025970458984,,,,,0.31091201305389404
2019-02-03,,,3464.013427734375,,107.49266815185547,,,,,0.30235201120376587
2019-02-04,15.145520210266113,9.959010124206543,3459.154052734375,21.1299991607666,107.82160186767578,31.2955379486084,51.351688385009766,9.224309921264648,29.172657012939453,0.3001979887485504
2019-02-05,15.301488876342773,9.857236862182617,3466.357421875,21.3799991607666,107.44351959228516,29.962982177734375,50.89638137817383,9.242029190063477,29.068187713623047,0.29923900961875916
2019-02-06,14.849998474121094,9.362922668457031,3413.767822265625,20.59000015258789,104.9192886352539,28.701370239257812,49.21432876586914,9.032949447631836,27.723159790039062,0.29072698950767517
